"Protein","Label","log2FC","SE","DF","pvalue","adj.pvalue","issue"
"sp|A0A0B4J1V0|HV315_HUMAN","TNBC vs Normal",-1.66145039309806,0.36962196064625,33.4540164586062,7.90402520630472e-05,0.00430921374228344,NA
"sp|A0A0B4J1X5|HV374_HUMAN","MBC Spindle vs Normal",-0.596311087585727,0.338514956167532,33.7480496800929,0.087203525242188,0.251565725214467,NA
"sp|A0A0B4J1X5|HV374_HUMAN","MBC Squamous vs Normal",-0.744799206599093,0.385477479056658,33.6757153846618,0.0617897681598139,0.247685689981527,NA
"sp|A0A0B4J1X5|HV374_HUMAN","MBC Sarcomatoid vs Normal",-0.788193824619887,0.34948456420616,33.6000844019443,0.0307440189055372,0.326209640232609,NA
"sp|A0A0B4J1X5|HV374_HUMAN","TNBC vs Normal",-0.727835419278225,0.336903975713097,33.476718909955,0.037996582281194,0.142404186640493,NA
"sp|A0A0C4DH29|HV103_HUMAN","MBC Spindle vs Normal",-0.914313587944738,0.426415949414054,17.5528054667594,0.0462878851241579,0.168498427084333,NA
"sp|A0A0C4DH29|HV103_HUMAN","MBC Squamous vs Normal",-0.764857571841999,0.456640581399056,17.5203245178546,0.11169630517585,0.339075566076455,NA
"sp|A0A0C4DH29|HV103_HUMAN","MBC Sarcomatoid vs Normal",-0.306444738940157,0.456640581399056,17.5203245178996,0.510917569559816,0.833911260196107,NA
"sp|A0A0C4DH29|HV103_HUMAN","TNBC vs Normal",-0.925311407550748,0.420505801215897,17.4995569280936,0.041466125679901,0.149372892379313,NA
"sp|A0A0C4DH34|HV428_HUMAN","MBC Spindle vs Normal",-0.704969226989406,0.424434846398762,34.0304423209477,0.105908943677612,0.281516621266073,NA
"sp|A0A0C4DH34|HV428_HUMAN","MBC Squamous vs Normal",-0.78777757762871,0.441332869310369,33.6858118973907,0.0832699869908749,0.295582268287106,NA
"sp|A0A0C4DH34|HV428_HUMAN","MBC Sarcomatoid vs Normal",-1.01167468053091,0.422436896799096,33.5671904487846,0.022358986614208,0.28343131926816,NA
"sp|A0A0C4DH34|HV428_HUMAN","TNBC vs Normal",-1.15180151360991,0.407395622903949,33.3885210793122,0.00787567891905234,0.0546921972107588,NA
"sp|A0A0C4DH38|HV551_HUMAN","MBC Spindle vs Normal",-0.273465775146933,0.371790627565254,17.6554516276001,0.471671636147727,0.680432552914394,NA
"sp|A0A0C4DH38|HV551_HUMAN","MBC Squamous vs Normal",-0.337364232841726,0.371790627565255,17.6554516275969,0.376412385182936,0.626882012739446,NA
"sp|A0A0C4DH38|HV551_HUMAN","MBC Sarcomatoid vs Normal",-0.618126907169176,0.343481098508912,17.4995552223095,0.0891907839258143,0.43141255514944,NA
"sp|A0A0C4DH38|HV551_HUMAN","TNBC vs Normal",-0.467960545974947,0.343481098508912,17.4995552223209,0.190348727993218,0.380295027386028,NA
"sp|A0A0C4DH73|KV112_HUMAN","MBC Spindle vs Normal",1.89796294161378,0.63865809871776,9.4995552233151,0.0147778882626554,0.0836428475666297,NA
"sp|A0A0C4DH73|KV112_HUMAN","MBC Squamous vs Normal",0.302438298439516,0.856849753868209,9.4995552233151,0.731820413154695,0.87029772111693,NA
"sp|A0A0C4DH73|KV112_HUMAN","MBC Sarcomatoid vs Normal",1.09363781781924,0.856849753868209,9.4995552233151,0.232152458118776,0.613942450024619,NA
"sp|A0A0C4DH73|KV112_HUMAN","TNBC vs Normal",1.17143745007666,0.699614894402157,9.4995552233151,0.126597806619736,0.296860861676553,NA
"sp|A0AVT1|UBA6_HUMAN","MBC Spindle vs Normal",0.692714628576665,0.171405856419431,58.0333297857274,0.000158343907020851,0.00492432150405503,NA
"sp|A0AVT1|UBA6_HUMAN","MBC Squamous vs Normal",0.623687284650572,0.179997166330623,57.8515123939539,0.00100560350381359,0.0329978266018832,NA
"sp|A0AVT1|UBA6_HUMAN","MBC Sarcomatoid vs Normal",0.0993442914682321,0.1669884108027,57.6269523280776,0.554227694609891,0.850993470770303,NA
"sp|A0AVT1|UBA6_HUMAN","TNBC vs Normal",0.84446638757038,0.163638401975793,57.5126063134042,3.18522052173404e-06,0.000602006678607734,NA
"sp|A0FGR8|ESYT2_HUMAN","MBC Spindle vs Normal",0.472210543666502,0.292000490522506,40.2438311085537,0.113657289668726,0.292409208874994,NA
"sp|A0FGR8|ESYT2_HUMAN","MBC Squamous vs Normal",0.316960799053771,0.364695059859475,39.9578093618633,0.389976652614949,0.636871593564459,NA
"sp|A0FGR8|ESYT2_HUMAN","MBC Sarcomatoid vs Normal",0.222003148706736,0.331089810822346,40.0649255486576,0.506371825775498,0.828635221586083,NA
"sp|A0FGR8|ESYT2_HUMAN","TNBC vs Normal",0.192681454476803,0.303461241582833,40.3789495525708,0.5290454259552,0.711668616170603,NA
"sp|A0JNW5|UH1BL_HUMAN","MBC Spindle vs Normal",0.90948302926558,0.341883860670981,16.5563708024627,0.0167525678462271,0.0917016769919202,NA
"sp|A0JNW5|UH1BL_HUMAN","MBC Squamous vs Normal",0.437225696588586,0.341883860670981,16.5563708024403,0.218577651513841,0.468001618036464,NA
"sp|A0JNW5|UH1BL_HUMAN","MBC Sarcomatoid vs Normal",0.189998853138048,0.341883860670981,16.5563708024852,0.585820295183514,0.861701684395377,NA
"sp|A0JNW5|UH1BL_HUMAN","TNBC vs Normal",0.384167905034834,0.3150659204281,16.4995552172415,0.239865640737665,0.43731131285613,NA
"sp|A0MZ66|SHOT1_HUMAN","MBC Spindle vs Normal",-0.909452836519536,0.317637750716733,34.3671127578035,0.0070985005395146,0.0527263950835336,NA
"sp|A0MZ66|SHOT1_HUMAN","MBC Squamous vs Normal",0.718782676567767,0.330813188739807,33.8799132809529,0.0368856028800616,0.186543317791279,NA
"sp|A0MZ66|SHOT1_HUMAN","MBC Sarcomatoid vs Normal",-0.56143731790122,0.31681850571992,33.7092720747787,0.0854156281717467,0.424252228792244,NA
"sp|A0MZ66|SHOT1_HUMAN","TNBC vs Normal",0.00919768788558362,0.305780470958137,33.4482798437525,0.976182508998964,0.988370589992317,NA
"sp|A1L4H1|SRCRL_HUMAN","MBC Spindle vs Normal",-0.663852804469208,0.534862096923712,9.4995552233151,0.244318554935735,0.468760346080088,NA
"sp|A1L4H1|SRCRL_HUMAN","MBC Squamous vs Normal",-0.70002998516785,0.655069610109067,9.4995552233151,0.311636571440648,0.562970529226148,NA
"sp|A1L4H1|SRCRL_HUMAN","MBC Sarcomatoid vs Normal",0.228809511918314,0.534862096923712,9.4995552233151,0.678337949460435,0.906061088239414,NA
"sp|A1L4H1|SRCRL_HUMAN","TNBC vs Normal",-0.563083399997698,0.534862096923712,9.4995552233151,0.318490437707194,0.526177383974297,NA
"sp|A1X283|SPD2B_HUMAN","MBC Spindle vs Normal",1.36410835241184,0.264370407829067,58.1500268378117,3.12441712348002e-06,0.000649863830092755,NA
"sp|A1X283|SPD2B_HUMAN","MBC Squamous vs Normal",1.24229844836611,0.277680885959939,57.9271150668759,3.64519913949327e-05,0.00527527102193572,NA
"sp|A1X283|SPD2B_HUMAN","MBC Sarcomatoid vs Normal",0.892720304644567,0.257679754478454,57.6509256835107,0.00100922155983989,0.0834982425832235,NA
"sp|A1X283|SPD2B_HUMAN","TNBC vs Normal",1.15276102551487,0.252543728956669,57.5095706356208,2.68258468571002e-05,0.00237660236999622,NA
"sp|A2A368|MAGBG_HUMAN","MBC Spindle vs Normal",0.481908032102647,0.30633218800662,27.4995552230649,0.12711906929049,0.315290943113134,NA
