"Protein","Label","log2FC","SE","DF","pvalue","adj.pvalue","issue"
"sp|A0A075B6H7|KV37_HUMAN","MBC vs TNBC",-0.00953927570175479,1.05476007830762,11.2386107187576,0.992942560043539,0.998732641819529,NA
"sp|A0A075B6P5|KV228_HUMAN","MBC vs TNBC",0.674330190117665,0.487207627437496,29.5483910776425,0.176702297145707,0.838472856828577,NA
"sp|A0A087WSY6|KVD15_HUMAN","MBC vs TNBC",0.723555935815551,0.392242715086566,65.2386107179475,0.069626858991404,0.723790230529361,NA
"sp|A0A0A0MT36|KVD21_HUMAN","MBC vs TNBC",1.78893586024939,1.20553211036659,10.2386107187576,0.167944100802867,0.825570289940148,NA
"sp|A0A0B4J1V0|HV315_HUMAN","MBC vs TNBC",0.611270495344998,0.321243381870447,35.2386107356427,0.065259070016373,0.718738035375849,NA
"sp|A0A0B4J1X5|HV374_HUMAN","MBC vs TNBC",0.0272433439772021,0.2768031556151,35.2386107489448,0.9221554445554,0.991797195406282,NA
"sp|A0A0C4DH29|HV103_HUMAN","MBC vs TNBC",0.238195279138204,0.353170449740226,19.2386108953896,0.508050465406319,0.939689897940566,NA
"sp|A0A0C4DH34|HV428_HUMAN","MBC vs TNBC",0.314642872689182,0.336105945985326,35.2386107214806,0.355571771275563,0.928948799607164,NA
"sp|A0A0C4DH38|HV551_HUMAN","MBC vs TNBC",0.0374607807106781,0.281960361354644,19.2386107138782,0.895685229275504,0.983937108615765,NA
"sp|A0A0C4DH73|KV112_HUMAN","MBC vs TNBC",0.246555538143356,0.644617762411287,11.2386107187576,0.709237498150139,0.971479416597828,NA
"sp|A0AVT1|UBA6_HUMAN","MBC vs TNBC",-0.391868553898588,0.15046108682314,59.2386108398021,0.0116154741484067,0.406683247317997,NA
"sp|A0FGR8|ESYT2_HUMAN","MBC vs TNBC",0.174255552557007,0.238263348577249,44.2386107182782,0.46841760219631,0.928948799607164,NA
"sp|A0JNW5|UH1BL_HUMAN","MBC vs TNBC",0.133306470972555,0.280203701312246,18.2475925728082,0.639899452793615,0.95804285926704,NA
"sp|A0MZ66|SHOT1_HUMAN","MBC vs TNBC",-0.308374438962515,0.31975637243098,35.2386107250187,0.341415274455087,0.928948799607164,NA
"sp|A1L4H1|SRCRL_HUMAN","MBC vs TNBC",0.24906008594377,0.478868889464934,11.2386107187576,0.613084511476509,0.958006774836275,NA
"sp|A1X283|SPD2B_HUMAN","MBC vs TNBC",0.0014575079989136,0.214769077513909,59.2386107230896,0.994608083782044,0.998732641819529,NA
"sp|A2A368|MAGBG_HUMAN","MBC vs TNBC",-0.607520776189748,0.254958796260187,29.2386107184262,0.0238947542065678,0.515803303210948,NA
