Protein,g2_g1.p-value,g2_g1.log2foldchange,g4_g3.p-value,g4_g3.log2foldchange
ENSEMBL:ENSBTAP00000007350,0.000544903241638028,0.880721561370552,7.04513375633375e-05,1.1886719381816
ENSEMBL:ENSBTAP00000018229,0.0061444302984035,0.814183049126468,3.74459206105016e-05,1.80397419438359
ENSEMBL:ENSBTAP00000018574,0.377983599174988,0.394848592977997,0.0197849484481978,-1.40986187638309
ENSEMBL:ENSBTAP00000024146,1.83322995952473e-05,0.69750794570519,2.84877783429671e-06,0.894582853196634
ENSEMBL:ENSBTAP00000024462;ENSEMBL:ENSBTAP00000024466,0.712645957908123,-0.0990067088151448,0.333466352730655,0.361383135269406
ENSEMBL:ENSBTAP00000025008,0.390010544492503,-0.413154553467594,0.0521965438299725,0.879563738840903
ENSEMBL:ENSBTAP00000034412,0.10287793985088,0.537110664832952,0.000378603286214974,-1.63138897960867
P00735,0.0210449342084105,0.48606401160949,1.86658048773047e-05,1.52631403973987
P00761;sp|TRYP_PIG|,0.21007707669838,0.404727670320327,0.359217514953408,-0.288865245607715
P01966,0.109296349389027,0.335101355251133,2.95133917305179e-09,5.18720165365578
P02070,0.979266185124562,0.0130792923085193,0.00499548011229245,1.52912991966512
P02672,0.124782991986301,0.933428036030064,0.860863047205551,0.1182522696523
P02676,0.256230298339723,0.68327482314941,0.778164807102965,-0.20053561497463
P02769;sp|ALBU_BOVIN|,0.00119017559107082,0.93009680099872,7.60471186382894e-05,1.40433808520602
P04264;sp|K2C1_HUMAN|,0.441264340690895,0.170087101259692,0.00327444712628289,0.868147946858054
P05787;sp|P05787-2|K2C8_HUMAN;sp|P05787|K2C8_HUMAN,0.000185293287801702,-0.839784225031064,1.23060210155401e-06,1.66346174639262
P06868,0.0508415519505805,0.450566670926224,5.68659831889917e-07,-2.80010353574179
P12763,0.0542207557583754,0.475904913692421,5.68943484522411e-05,1.62786436645376
P13645;sp|P13645|K1C10_HUMAN,0.34900459262291,0.192235067985072,0.0027231535674288,0.825256595076465
P15497,0.00352804731804213,0.477538795380011,0.912786937509983,0.0132261414591888
P17690,0.000112425240742953,0.978107197257565,8.10729350320116e-09,3.42874377605743
P17697,0.314433590564596,-0.466050752750701,0.161742255406813,0.478966231738237
P34955,7.65858685092269e-06,0.858102399931095,5.52959421584731e-07,1.21169117775003
P35527;sp|K1C9_HUMAN|;sp|P35527|K1C9_HUMAN,0.477078234180527,0.213903052829774,0.000133112995619467,1.95987924090225
P35908;sp|K22E_HUMAN|;sp|P35908|K22E_HUMAN,0.950426921049996,0.0373409610218176,0.519986424655656,-0.351058972418523
P41361,0.655833797242031,0.11781817863925,0.0314929265013049,-0.662543723738547
P50448,0.866290120161088,-0.0711847482440959,0.92101702808328,0.0511969485197457
P81644,0.0719839136989773,0.408715034532233,3.33017514897449e-07,3.01476451539377
Q03247,0.00762360398048401,0.5842224982758,5.72893370422989e-05,1.27134542488227
Q0IIK2,6.48785097983051e-05,0.724015689949659,1.38006678411795e-05,0.895937979290195
Q1RMK2,0.0995550373638361,0.399668899612242,4.10636490171257e-05,1.70538069518989
Q28085,0.746114611967159,0.0972057971369726,0.0215713057341773,1.1842248829506
Q28107,0.588844745816292,0.0529081026855235,5.54008195763345e-07,1.34498641229357
Q2KJ62,0.372477206654249,0.382565024791805,0.596086423417759,0.223506855106634
Q2KJF1,0.00144621533712086,0.976704387542281,0.760205954808067,0.0707319716167091
Q2TBQ1,0.733216735466786,0.112692249330523,0.214503212341797,0.484781080761976
Q2UVX4,0.00349909555327566,1.02516615023372,0.00100358668722467,1.26375495012045
Q3KNV1;sp|P08729|K2C7_HUMAN,0.000279793549120999,1.23044153424253,0.993920713545447,0.00162335759449173
Q3SX09,0.0580196087787561,0.408367754231495,9.4167751640839e-07,2.46814076449677
Q3SZ57,1.26142132588214e-05,0.883801344955852,4.72490608425247e-05,0.808290245017216
Q3SZH5,0.0037482383384666,1.08548903304989,0.00135358395717788,1.29076029723109
Q3SZV7,0.00116106603118826,0.930245292559155,0.0845205206854598,-0.396459075161538
Q3T052,0.000789244740754924,1.96469977645064,0.626987630310033,-0.198181497672181
Q3ZBD7,0.00757751113074656,-0.633570355812981,0.00627777999272405,0.656753967431759
Q3ZBS7,0.668493490563385,0.0806556180498255,1.2705047578887e-05,-1.71894084851631
Q58D62,0.00544089459729236,0.817801710493708,0.000188431928108912,1.40845753292308
Q9TRI1,0.000642688665013269,1.20322777197313,0.596871567539929,-0.122610713965841
sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN,0.0134995874070012,0.627136614796003,0.0084230825598739,0.690101356456449
sp|A0AVT1|UBA6_HUMAN,1.51848552207845e-05,1.55388777240766,0.000254656471922132,-1.04477324809942
sp|A0FGR8-2|ESYT2_HUMAN;sp|A0FGR8|ESYT2_HUMAN,0.0267682171274601,0.720546600075223,0.020470067016757,0.859783615287167
sp|A0MZ66-3|SHOT1_HUMAN;sp|A0MZ66|SHOT1_HUMAN,0.167553259757337,-0.833996062223453,0.0286928341488646,1.66272929628152
sp|A1L0T0|HACL2_HUMAN,0.115868049947709,-0.374930310502558,0.306308079206977,0.232358297585799
sp|A5YKK6-2|CNOT1_HUMAN,0.746255448435626,-0.185056001387809,0.221398859558867,0.732622269752578
sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN,0.45846213537332,0.137667523341273,0.19580526449458,0.249468148508984
sp|A6NDG6|PGP_HUMAN,0.00409236872012619,0.961511374118179,0.00289864684577323,1.14734827862168
sp|A6NHG4|DDTL_HUMAN;sp|P30046-2|DOPD_HUMAN,0.0113449447437382,0.56595454334624,0.0131403848927736,-0.549009147512368
sp|A6NHL2-2|TBAL3_HUMAN;sp|A6NHL2|TBAL3_HUMAN,0.28564441745921,-1.19300748385708,0.695571451237324,0.377888257987453
sp|A6NHQ2|FBLL1_HUMAN,0.179817024073001,-0.330738160594059,0.239484628637385,-0.319024601836003
sp|A6NHR9|SMHD1_HUMAN,0.0412519345726614,0.451482093153583,0.000102819700605883,1.31804594757238
sp|A8MWD9|RUXGL_HUMAN;sp|P62308|RUXG_HUMAN,0.278135578952527,-0.2217714614666,0.88852131128619,-0.0275811638534015
sp|ANXA5_HUMAN|;sp|P08758|ANXA5_HUMAN,0.211107484554679,0.219315595989114,0.00162073263531393,-0.752038245462683
sp|B2MG_HUMAN|;sp|P61769|B2MG_HUMAN,0.000109047282724983,1.71743541210332,0.00131794625766535,1.27240988551764
sp|B2RXH8|HNRC2_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P0DMR1|HNRC4_HUMAN,0.493021436794499,-0.144366066707817,0.735576517238294,0.0702891674311122
sp|BID_HUMAN|;sp|P55957-2|BID_HUMAN;sp|P55957|BID_HUMAN,0.0215808686767776,-0.871152013322706,0.00329072790956486,-1.26429130803765
sp|CATA_HUMAN|;sp|P04040|CATA_HUMAN,0.260236848934435,-0.294245573264453,0.36889864865478,-0.231236881748288
sp|CATD_HUMAN|;sp|P07339|CATD_HUMAN,0.000132930760313066,0.875156007867954,0.00096691463184051,0.648912742240274
sp|CYB5_HUMAN|;sp|P00167-2|CYB5_HUMAN;sp|P00167|CYB5_HUMAN,0.819978177706012,-0.0724205368623987,4.14944085940228e-05,2.48103124082897
sp|CYC_HUMAN|;sp|P99999|CYC_HUMAN,0.000136828411360757,1.08661075538262,0.101059503593697,-0.295741872050239
sp|E9PRG8|CK098_HUMAN,0.564780598395039,-0.149239624678112,0.10878990893764,0.507372779014581
sp|GELS_HUMAN|;sp|P06396-3|GELS_HUMAN;sp|P06396-4|GELS_HUMAN;sp|P06396|GELS_HUMAN,3.49664413556994e-06,1.84806786114552,0.0498273375344191,-0.37912350251571
sp|HBA_HUMAN|;sp|P69905|HBA_HUMAN,0.606014755291562,0.146733767859261,3.42806050213085e-08,5.5884449086752
sp|NEDD8_HUMAN|;sp|Q15843|NEDD8_HUMAN,0.922701820504471,-0.0165454009814233,0.109122530751411,-0.297844131614598
