Protein,H446-H197,A549-H69,H197-A549,H69-H446
sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN,0.42579532603539,0.616816398430604,0.734937993439446,-1.77754971790544
sp|A0AVT1|UBA6_HUMAN,1.58735360743072,-0.870945620728824,-1.21866378109512,0.502255794393227
sp|A0FGR8-2|ESYT2_HUMAN;sp|A0FGR8|ESYT2_HUMAN,1.05000159903148,-0.950933864497805,0.234289307798121,-0.333357042331794
sp|A0MZ66-3|SHOT1_HUMAN;sp|A0MZ66|SHOT1_HUMAN,-1.25435174558164,-0.0578891938030919,0.77212274685595,0.540118192528778
sp|A1L0T0|HACL2_HUMAN,-0.408863623086652,0.627113197215336,0.228923835734378,-0.447173409863061
sp|A5YKK6-2|CNOT1_HUMAN,-0.544628043229768,-0.227532447429851,0.732576319597266,0.0395841710623531
sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN,0.1361075300898,0.478387842450112,0.201542132414361,-0.816037504954274
sp|A6NDG6|PGP_HUMAN,0.921444611718952,-2.08153605199155,1.18918671051512,-0.0290952702425249
sp|A6NHG4|DDTL_HUMAN;sp|P30046-2|DOPD_HUMAN,0.568166840940642,0.137837498938611,-0.592101118895473,-0.11390322098378
sp|A6NHL2-2|TBAL3_HUMAN;sp|A6NHL2|TBAL3_HUMAN,0.395916398201724,0.0685332271150886,0.664725258068221,-1.12917488338503
sp|A6NHQ2|FBLL1_HUMAN,-0.214689244361833,1.26910107371283,-0.277837455574399,-0.776574373776598
sp|A6NHR9|SMHD1_HUMAN,0.312586480202587,1.23714625420781,1.29186424261769,-2.84159697702808
sp|A8MPS7|YDJC_HUMAN,0.604589640916161,0.814850379744502,1.11348189907334,-2.532921919734
sp|A8MWD9|RUXGL_HUMAN;sp|P62308|RUXG_HUMAN,-0.222172145892066,0.805895157513775,-0.0755653096466453,-0.508157701975064
sp|B2RXH8|HNRC2_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P0DMR1|HNRC4_HUMAN,-0.169065523159266,1.35667187182483,-0.0605484152428428,-1.12705793342272
sp|E9PRG8|CK098_HUMAN,-0.266654909251127,-0.292539608269109,0.703585963585027,-0.14439144606479
sp|O00139-1|KIF2A_HUMAN;sp|O00139-4|KIF2A_HUMAN;sp|O00139-5|KIF2A_HUMAN;sp|O00139|KIF2A_HUMAN,-0.361289612603186,1.91146164106632,0.400190789035708,-1.95036281749884
sp|O00148|DX39A_HUMAN,-0.0272338326202773,0.704871089934111,0.676705630012496,-1.35434288732633
sp|O00151|PDLI1_HUMAN,0.325091259585131,-1.15993717483856,-1.0773154344853,1.91216134973874
sp|O00154-2|BACH_HUMAN;sp|O00154-3|BACH_HUMAN,-0.76932025717929,1.94611685416209,-1.35355172949922,0.176755132516417
