"Protein","LogIntensities","GROUP"
"sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9-2|NUDT4_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN",26.2615857747864,"H197"
"sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9-2|NUDT4_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN",27.0056437019784,"H446"
"sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9-2|NUDT4_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN",27.383426706983,"H446"
"sp|A0A075B767|PAL4H_HUMAN",27.6621022225304,"A549"
"sp|A0A075B767|PAL4H_HUMAN",27.8775040092449,"H197"
"sp|A0A075B767|PAL4H_HUMAN",27.2712122823497,"H197"
"sp|A0A075B767|PAL4H_HUMAN",26.9284346439302,"H446"
"sp|A0A0B4J2A2|PAL4C_HUMAN",27.8139918700874,"A549"
"sp|A0A0B4J2A2|PAL4C_HUMAN",25.6659788317929,"A549"
"sp|A0A0B4J2A2|PAL4C_HUMAN",29.6636851342228,"H197"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.7702520527454,"A549"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.6258413687813,"A549"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.9272271034907,"A549"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",26.0403655257057,"H197"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",26.3295025650033,"H197"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",26.2308384124146,"H197"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",26.5139914151941,"H446"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",27.0402392367449,"H446"
