Gene.ID	g4_g3	g2_g1
ENSG00000001084	81	64
ENSG00000002549	52	41
ENSG00000002834	56	89
ENSG00000004142	67	38
ENSG00000004660	98	76
ENSG00000004766	63	5
ENSG00000004779	57	92
ENSG00000004864	20	32
ENSG00000004939	88	80
ENSG00000005007	54	30
ENSG00000005194	54	31
ENSG00000005810	46	46
ENSG00000005882	0	72
ENSG00000005893	52	22
ENSG00000006125	40	5
ENSG00000006282	41	93
ENSG00000006625	65	98
ENSG00000006740	28	69
ENSG00000007168	55	39
ENSG00000007237	48	90
ENSG00000007402	76	52
ENSG00000007923	47	55
ENSG00000008056	24	16
ENSG00000008988	50	27
ENSG00000009307	42	52
ENSG00000009844	31	14
ENSG00000010017	18	65
ENSG00000010256	36	82
ENSG00000010278	39	95
ENSG00000011021	85	85
ENSG00000011295	9	95
ENSG00000011347	68	39
ENSG00000011376	33	64
ENSG00000011426	48	99
ENSG00000011485	86	50
ENSG00000011677	86	41
ENSG00000012822	81	95
ENSG00000013016	60	57
ENSG00000013297	96	91
ENSG00000013364	52	60
ENSG00000013583	69	24
ENSG00000014123	82	16
ENSG00000014216	57	6
ENSG00000014641	42	2
ENSG00000014824	25	89
ENSG00000014919	40	12
ENSG00000015475	78	39
ENSG00000017797	98	6
ENSG00000018189	71	23
ENSG00000018236	29	60
ENSG00000018625	23	33
ENSG00000019144	99	72
ENSG00000020129	71	44
ENSG00000021300	35	71
ENSG00000021574	89	77
ENSG00000022355	2	83
ENSG00000023287	79	69
ENSG00000023318	19	12
ENSG00000023697	77	21
ENSG00000023734	66	62
ENSG00000024422	37	1
ENSG00000025772	91	34
ENSG00000026508	62	89
ENSG00000028528	5	35
ENSG00000029534	31	32
ENSG00000029725	46	68
ENSG00000031698	28	31
ENSG00000032444	74	44
ENSG00000033178	58	24
ENSG00000033627	28	54
ENSG00000034713	60	88
ENSG00000035403	8	8
ENSG00000035687	41	64
ENSG00000036257	96	13
ENSG00000038274	11	60
ENSG00000038382	53	16
ENSG00000038427	16	33
ENSG00000039319	98	23
ENSG00000040341	6	25
ENSG00000040731	72	95
ENSG00000040933	29	18
ENSG00000041982	69	80
ENSG00000042493	55	45
ENSG00000042753	24	54
ENSG00000044574	59	8
ENSG00000047056	7	22
ENSG00000047249	5	71
ENSG00000047410	18	4
ENSG00000047457	20	38
ENSG00000047849	26	61
