Protein,g2_g1.p-value,g2_g1.log2foldchange,g4_g3.p-value,g4_g3.log2foldchange
sp|A6NHR9|SMHD1_HUMAN,0.559721522833579,0.297089838774861,0.00409201192204778,-1.75067873755007
sp|A6NI72|NCF1B_HUMAN;sp|P14598|NCF1_HUMAN,0.819001239677191,0.146970890827125,0.0565136069030405,-1.39280863517203
sp|A6NMZ7|CO6A6_HUMAN,0.699458198442061,0.483626636307186,0.0886223901013894,2.51241656359505
sp|A8MWX3|WASH4_HUMAN,0.0561876847806932,2.78433126249022,0.288762645402183,-1.23324499916381
sp|A8TX70-2|CO6A5_HUMAN;sp|A8TX70|CO6A5_HUMAN,0.334298346229244,0.630243980933517,0.13399026105046,2.30062834342616
sp|B0I1T2|MYO1G_HUMAN,0.121058677172451,-1.14001597386836,0.0122939570687253,-3.08936111783309
sp|B5ME19|EIFCL_HUMAN;sp|Q99613-2|EIF3C_HUMAN;sp|Q99613|EIF3C_HUMAN,4.50145524588663e-06,-2.79145772391215,0.000992932818529191,-2.06762502557588
sp|B9A064|IGLL5_HUMAN,0.0093760186484495,1.80075587076405,6.16590833502073e-07,4.16509438223909
sp|C9JJH3|U17LA_HUMAN,0.705196549157187,0.0908506742140788,0.32471944724786,-0.39191137667715
sp|E9PAV3|NACAM_HUMAN,0.00699406975978101,-2.3952129648682,0.149235695645852,-1.4386283541918
sp|O00116|ADAS_HUMAN,0.892909394265589,0.0787472693590163,0.273386950336592,-0.677856136411312
sp|O00148|DX39A_HUMAN,7.16918751031415e-07,-4.56606115479218,1.21734932103656e-05,-4.51969862538917
sp|O00151|PDLI1_HUMAN,4.67543116855484e-05,-2.57819226436791,0.00189741960994994,-2.18603812517445
sp|O00159|MYO1C_HUMAN,0.000291461501105372,2.3423535208236,0.000550854127078448,2.57145557509469
sp|O00161-2|SNP23_HUMAN;sp|O00161|SNP23_HUMAN,0.00193127507550717,-1.33349307136975,0.000235935910333218,-1.8881088130252
sp|O00170|AIP_HUMAN,0.415108236716683,-0.968786020020301,0.0685781506956669,-1.96717416691865
sp|O00182-2|LEG9_HUMAN;sp|O00182-3|LEG9_HUMAN;sp|O00182-6|LEG9_HUMAN;sp|O00182|LEG9_HUMAN,0.0786461731554251,-2.6326932464534,0.0124183573348695,-3.36132100587146
sp|O00186|STXB3_HUMAN,0.703367458958197,-0.0818874895330192,0.15897141425895,-0.329535135504672
sp|O00194|RB27B_HUMAN,0.368652348891938,-0.785670879105349,0.0414032323134141,-1.42865291368976
sp|O00203-3|AP3B1_HUMAN;sp|O00203|AP3B1_HUMAN,1.61417101907091e-10,-2.6011392413586,2.61285704183933e-09,-2.52223373375353
sp|O00217|NDUS8_HUMAN,0.183569945627475,-0.710884921031638,0.00666977340050723,-1.25807225067841
sp|O00231-2|PSD11_HUMAN;sp|O00231|PSD11_HUMAN,9.50350909079134e-14,-2.59807238474208,2.22044604925031e-15,-3.2524973996013
sp|O00232|PSD12_HUMAN,5.71050762232517e-10,-3.21897192649749,1.55031543158657e-12,-4.37960962046208
sp|O00264|PGRC1_HUMAN,0.000101887295096859,-1.21836573447648,0.0010843684137174,-1.12259126885814
sp|O00267-2|SPT5H_HUMAN;sp|O00267|SPT5H_HUMAN,0.539072825852849,-0.184307502219121,0.000118267228750302,-1.4588832580082
sp|O00299|CLIC1_HUMAN,2.44088277048249e-05,-2.86145100379704,0.000541655201468094,-2.62487178750848
sp|O00303|EIF3F_HUMAN,2.95619356842636e-05,-2.11314681892649,1.4944954105145e-05,-2.35876271813605
sp|O00329|PK3CD_HUMAN,0.0074499827377339,1.20377630972965,0.612550248554459,-0.245835729301909
sp|O00330-3|ODPX_HUMAN;sp|O00330|ODPX_HUMAN,0.704361612023642,-0.2402230171439,0.262843421834146,-0.797573120451326
sp|O00339-2|MATN2_HUMAN;sp|O00339-3|MATN2_HUMAN;sp|O00339|MATN2_HUMAN,0.318380995697803,-0.523754130236663,0.224646165615052,0.529757405529707
sp|O00391-2|QSOX1_HUMAN;sp|O00391|QSOX1_HUMAN,0.0500876545676225,-1.13113798115591,0.328223509260116,0.65922206060552
sp|O00410-3|IPO5_HUMAN;sp|O00410|IPO5_HUMAN,1.14542739670931e-06,-3.26379363812236,3.11711303679907e-06,-3.57533077258481
sp|O00429-5|DNM1L_HUMAN,6.11337624967234e-09,-3.26951278015829,6.10696551106571e-08,-3.57240664292614
sp|O00442-2|RTCA_HUMAN;sp|O00442|RTCA_HUMAN,1.67803975890113e-05,-3.19171486377784,1.12220417847197e-07,-4.01747400457472
sp|O00443|P3C2A_HUMAN,0.0797344965247238,1.39187392356648,0.000276366497964364,3.54119219763557
sp|O00458-2|IFRD1_HUMAN;sp|O00458|IFRD1_HUMAN,0.000779385293504076,2.26031291314935,0.00161638811382447,3.53290773348017
sp|O00468-3|AGRIN_HUMAN,0.000309904785563919,-2.42020598800016,0.266797230806009,-0.692608938262808
sp|O00469-2|PLOD2_HUMAN;sp|O00469|PLOD2_HUMAN,0.0970933358119417,-2.49014194286741,0.890215147321022,0.223973068905484
sp|O00483|NDUA4_HUMAN,0.159089809213427,-0.582980211775316,0.000579450120344216,-1.91852356842388
sp|O00487|PSDE_HUMAN,0.000173788687963583,-2.53987051636641,0.000909883320010518,-2.55728752018556
sp|O00499-10|BIN1_HUMAN;sp|O00499-11|BIN1_HUMAN;sp|O00499-2|BIN1_HUMAN;sp|O00499-3|BIN1_HUMAN;sp|O00499-4|BIN1_HUMAN;sp|O00499-5|BIN1_HUMAN;sp|O00499-6|BIN1_HUMAN;sp|O00499-7|BIN1_HUMAN;sp|O00499-8|BIN1_HUMAN;sp|O00499-9|BIN1_HUMAN;sp|O00499|BIN1_HUMAN,0.0183899058127863,1.17029790235463,0.0335305879570151,-0.919597862819014
sp|O00507|USP9Y_HUMAN,0.285923327262488,-0.390079353571672,0.846119632067788,-0.0861085531951513
