Protein,axillary metastatic lymph nodes tissues-adjacent breast tissues,non-tumor contralateral breast tissues-axillary metastatic lymph nodes tissues,primary breast tumor tissues-non-tumor contralateral breast tissues,adjacent breast tissues-primary breast tumor tissues
sp|A0A075B6R9|KVD24_HUMAN;sp|A0A0C4DH68|KV224_HUMAN,-1.2734491304558,1.36842742324178,-0.529877374337713,0.434899081551731
sp|A0A075B6S2|KVD29_HUMAN;sp|A0A0A0MRZ7|KVD26_HUMAN;sp|A2NJV5|KV229_HUMAN,3.34573109529194,-2.26710665016204,0.199548781131207,-1.27817322626111
sp|A0A075B6S5|KV127_HUMAN;sp|A0A0C4DH67|KV108_HUMAN;sp|A0A0C4DH69|KV109_HUMAN,-0.492869052435119,0.486625695473529,-0.459791957165913,0.466035314127503
sp|A0A087WSY6|KVD15_HUMAN,0.414629163957864,-0.13929891646981,-0.400099368144702,0.124769120656648
sp|A0A0A0MRZ8|KVD11_HUMAN;sp|P04433|KV311_HUMAN,-0.2611330921953,0.899321280828096,-1.73431096030325,1.09612277167045
sp|A0A0B4J1V0|HV315_HUMAN,0.0209591068025252,0.460624678608852,-0.529706211658571,0.0481224262471938
sp|A0A0B4J1V1|HV321_HUMAN,-1.18022904422942,1.54550719831622,-1.13759125902912,0.772313104942318
sp|A0A0B4J1X5|HV374_HUMAN,-1.9083278431063,2.13280479114948,-2.06248959903465,1.83801265099147
sp|A0A0B4J1Y9|HV372_HUMAN,0.0934000785527868,-0.158458762962465,-0.691091102898813,0.75614978730849
sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN,1.10338154636547,-1.24019267548785,1.42827229525036,-1.29146116612798
sp|A0A0B4J2D9|KVD13_HUMAN;sp|P0DP09|KV113_HUMAN,1.78122141250764,0.0113106080472016,0.507316167119046,-2.29984818767389
sp|A0A0C4DH29|HV103_HUMAN,0.175837067879222,-0.0459076179481847,-0.448834750874982,0.318905300943945
sp|A0A0C4DH31|HV118_HUMAN,-0.383495735736885,0.796900169788726,-0.970464047043668,0.557059612991827
sp|A0A0C4DH38|HV551_HUMAN,-0.268742186432668,0.431682345180817,-0.785271229212422,0.622331070464272
sp|A0A0C4DH73|KV112_HUMAN;sp|P01611|KVD12_HUMAN,-1.35603829695887,1.32810588235494,-0.871121758562274,0.899054173166205
sp|A0A0J9YX35|HV64D_HUMAN,-0.313246031271211,0.426553237998726,-0.134722078852444,0.0214148721249295
sp|A0A2R8Y619|H2BE1_HUMAN,1.41413092540311,-1.19732367295721,0.488244442135931,-0.705051694581823
sp|A0AVT1|UBA6_HUMAN,1.4908949203857,-2.04121662898283,1.17982379720416,-0.629502088607029
sp|A0FGR8-2|ESYT2_HUMAN,2.03443863072435,-1.96350822773682,1.54638181210413,-1.61731221509165
sp|A1A5B4-3|ANO9_HUMAN;sp|A1A5B4|ANO9_HUMAN,1.14915479571375,-0.0546335433138707,0.478210965151253,-1.57273221755113
sp|A2RRP1-2|NBAS_HUMAN;sp|A2RRP1|NBAS_HUMAN,0.168045857500063,-0.0918035587487187,0.571592555933716,-0.64783485468506
sp|A4D1P6-2|WDR91_HUMAN;sp|A4D1P6-3|WDR91_HUMAN;sp|A4D1P6|WDR91_HUMAN,0.754125491208292,1.80645438625127,-1.65274193973786,-0.907837937721701
sp|A5YKK6-2|CNOT1_HUMAN;sp|A5YKK6|CNOT1_HUMAN,0.955943773658403,-0.824461661789146,1.21900972968114,-1.3504918415504
sp|A6NHL2-2|TBAL3_HUMAN;sp|A6NHL2|TBAL3_HUMAN,0.182183513689305,-0.987210285870782,0.635537686837049,0.169489085344428
sp|A6NHR9|SMHD1_HUMAN,1.01054500513773,-1.75067873755007,0.443043893637475,0.297089838774861
sp|A6NI72|NCF1B_HUMAN;sp|P14598|NCF1_HUMAN,1.01310085028881,-1.39280863517203,0.232736894056094,0.146970890827125
sp|A6NMZ7|CO6A6_HUMAN,-1.17702835279702,2.51241656359505,-1.81901484710522,0.483626636307186
sp|A8MWX3|WASH4_HUMAN,-2.16494286519182,-1.23324499916381,0.613856601865406,2.78433126249022
sp|A8TX70-2|CO6A5_HUMAN;sp|A8TX70|CO6A5_HUMAN,-2.2528971135154,2.30062834342616,-0.677975210844276,0.630243980933517
sp|B0I1T2|MYO1G_HUMAN,3.6004446522544,-3.08936111783309,0.628932439447054,-1.14001597386836
sp|B5ME19|EIFCL_HUMAN;sp|Q99613-2|EIF3C_HUMAN;sp|Q99613|EIF3C_HUMAN,2.54035841464868,-2.06762502557588,2.31872433483934,-2.79145772391215
sp|C9JJH3|U17LA_HUMAN,-0.0330470675365423,-0.39191137667715,0.334107769999614,0.0908506742140788
sp|E9PAV3|NACAM_HUMAN,1.96206250735341,-1.4386283541918,1.87177881170659,-2.3952129648682
sp|O00116|ADAS_HUMAN,0.75162547482005,-0.677856136411312,-0.152516607767754,0.0787472693590163
